date,session,n1,n2,n3,n4,n5
1675,Soir,37,15,55,72,34
1676,Soir,5,16,21,9,11
1677,Soir,81,54,80,50,47
1678,Soir,64,17,66,42,60
1679,Soir,67,60,23,18,69
1680,Soir,65,61,42,12,32
1681,Soir,47,18,72,9,17
1682,Soir,34,64,63,68,69
1683,Soir,87,69,28,50,47
1684,Soir,20,26,65,82,74
1685,Soir,36,17,89,3,40
1686,Soir,88,78,51,5,31
1687,Soir,4,47,57,72,33
1688,Soir,26,60,88,41,86
1689,Soir,86,79,57,52,29
1690,Soir,43,60,41,88,25
1691,Soir,41,59,73,12,45
1692,Soir,86,1,83,20,33
1693,Soir,86,1,73,30,87
1694,Soir,46,89,31,19,55
1695,Soir,26,57,3,33,72
1696,Soir,70,71,40,32,89
1697,Soir,52,1,89,28,18
1698,Soir,12,41,61,29,78
1699,Soir,76,72,32,21,19
1700,Soir,52,60,88,3,38
1701,Soir,58,78,41,84,50
1702,Soir,55,14,12,9,6
1703,Soir,39,5,24,88,79
1704,Soir,18,71,85,16,64
1705,Soir,66,11,80,79,7
1706,Soir,78,75,22,50,60
1707,Soir,82,50,30,64,67
1708,Soir,34,38,25,51,82
1709,Soir,67,24,21,15,49
1710,Soir,42,72,60,19,14
1711,Soir,81,69,64,8,48
1712,Soir,47,59,31,57,61
1713,Soir,61,83,26,86,22
1714,Soir,41,31,33,16,13
1715,Soir,43,62,39,44,27
1716,Soir,23,76,84,21,57
1717,Soir,35,12,22,28,75
1718,Soir,81,59,60,56,20
1719,Soir,67,42,84,81,88
1720,Soir,4,90,61,6,72
1721,Soir,84,74,40,23,49
1722,Soir,3,39,52,12,66
1723,Soir,41,53,50,87,37
1724,Soir,46,63,32,4,45
1725,Soir,29,71,51,72,7
1726,Soir,62,31,79,14,24
1727,Soir,24,16,76,81,44
1728,Soir,58,78,6,48,86
1729,Soir,18,69,48,40,34
1730,Soir,14,53,47,42,89
1731,Soir,14,16,61,22,15
1732,Soir,44,71,11,2,13
1733,Soir,54,84,35,15,66
1734,Soir,18,13,37,4,79
1735,Soir,90,40,79,30,19
1736,Soir,42,41,3,61,65
1737,Soir,30,37,19,39,21
1738,Soir,70,22,41,33,66
1739,Soir,14,47,87,38,3
1740,Soir,19,7,53,42,50
1741,Soir,14,75,19,71,83
1742,Soir,39,63,28,88,74
1743,Soir,71,15,75,86,74
1744,Soir,2,1,35,55,36
1745,Soir,27,85,51,74,71
1746,Soir,90,69,89,57,59
1747,Soir,19,13,64,71,55
1748,Soir,52,77,23,33,34
1749,Soir,74,87,41,29,80
1750,Soir,63,49,82,84,83
1751,Soir,43,23,14,34,84
1752,Soir,87,6,62,16,13
1753,Soir,49,47,87,53,86
1754,Soir,2,8,27,20,68
1755,Soir,87,53,56,29,19
1756,Soir,75,33,72,21,51
1757,Soir,61,53,72,31,41
1758,Soir,78,66,74,57,54
1759,Soir,6,8,59,71,33
1760,Soir,72,32,2,5,53
1761,Soir,26,21,40,57,6
1762,Soir,40,82,17,90,70
1763,Soir,74,33,2,83,62
1764,Soir,87,72,26,86,52
1765,Soir,84,48,30,38,24
1766,Soir,19,76,11,7,72
1767,Soir,7,29,83,6,38
1768,Soir,31,86,64,75,70
1769,Soir,8,65,60,83,52
1770,Soir,40,18,9,27,64
1771,Soir,82,15,10,72,1
1772,Soir,34,49,85,36,64
1773,Soir,50,78,74,29,64
1774,Soir,37,82,26,14,7
1775,Soir,76,54,20,65,52
1776,Soir,45,53,9,8,33
1777,Soir,31,18,23,75,83
1778,Soir,24,35,61,63,40
1779,Soir,35,50,34,75,70
1780,Soir,43,45,47,57,20
1781,Soir,82,44,87,48,60
1782,Soir,71,2,44,10,29
1783,Soir,18,20,79,58,49
1784,Soir,34,77,78,55,3
1785,Soir,55,32,69,71,45
1786,Soir,45,74,73,47,59
1787,Soir,42,41,62,29,46
1788,Soir,82,17,25,88,41
1789,Soir,21,10,44,46,73
1790,Soir,53,25,47,61,42
1791,Soir,43,36,48,75,29
1792,Soir,23,72,48,19,84
1793,Soir,72,6,51,2,17
1794,Soir,56,34,24,21,63
1795,Soir,17,89,59,4,65
1796,Soir,53,45,2,24,34
1797,Soir,26,29,49,8,72
1798,Soir,67,37,63,46,31
1799,Soir,90,24,35,60,39
1800,Soir,8,45,77,58,33
1801,Soir,43,85,23,59,41
1802,Soir,37,88,74,3,21
1803,Soir,58,64,3,8,10
1804,Soir,85,51,14,84,76
1805,Soir,42,13,11,8,86
1806,Soir,22,5,42,17,34
1807,Soir,86,35,24,90,29
1808,Soir,46,41,12,26,2
1809,Soir,49,34,84,28,75
1810,Soir,81,61,56,5,31
1811,Soir,68,51,61,88,14
1812,Soir,3,68,6,69,79
1813,Soir,57,16,48,18,8
1814,Soir,57,54,34,27,25
1815,Soir,3,17,46,41,6
1816,Soir,62,12,6,16,66
1817,Soir,49,87,67,56,17
1818,Soir,28,42,27,50,24
1819,Soir,28,53,41,34,84
1820,Soir,27,23,26,48,57
1821,Soir,69,58,82,14,15
1822,Soir,46,60,74,17,43
1823,Soir,53,85,48,86,8
1824,Soir,82,58,43,59,70
1825,Soir,69,62,7,11,70
1826,Soir,34,79,46,42,90
1827,Soir,26,61,43,19,64
1828,Soir,20,15,46,31,56
1829,Soir,84,59,9,57,11
1830,Soir,90,9,74,8,38
1831,Soir,64,76,1,63,40
1832,Soir,63,49,52,27,60
1833,Soir,37,59,72,36,89
1834,Soir,19,29,85,39,62
1835,Soir,78,50,6,68,79
1836,Soir,76,50,36,31,20
